,precision,recall,f1-score,support
0.0,0.5714285714285714,0.5,0.5333333333333333,16.0
1.0,0.38461538461538464,0.45454545454545453,0.4166666666666667,11.0
accuracy,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145
macro avg,0.478021978021978,0.4772727272727273,0.475,27.0
weighted avg,0.49531949531949526,0.48148148148148145,0.4858024691358025,27.0
