,precision,recall,f1-score,support
0.0,0.6666666666666666,0.625,0.6451612903225806,16.0
1.0,0.5,0.5454545454545454,0.5217391304347826,11.0
accuracy,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
macro avg,0.5833333333333333,0.5852272727272727,0.5834502103786816,27.0
weighted avg,0.5987654320987653,0.5925925925925926,0.5948781881460703,27.0
