,precision,recall,f1-score,support
0.0,0.625,0.625,0.625,16.0
1.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,11.0
accuracy,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
macro avg,0.5397727272727273,0.5397727272727273,0.5397727272727273,27.0
weighted avg,0.5555555555555556,0.5555555555555556,0.5555555555555556,27.0
