,precision,recall,f1-score,support
0.0,0.5,0.375,0.42857142857142855,16.0
1.0,0.3333333333333333,0.45454545454545453,0.38461538461538464,11.0
accuracy,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074
macro avg,0.41666666666666663,0.4147727272727273,0.4065934065934066,27.0
weighted avg,0.43209876543209874,0.4074074074074074,0.41066341066341067,27.0
