,precision,recall,f1-score,support
0.0,0.5882352941176471,0.625,0.6060606060606061,16.0
1.0,0.4,0.36363636363636365,0.38095238095238093,11.0
accuracy,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
macro avg,0.49411764705882355,0.4943181818181818,0.4935064935064935,27.0
weighted avg,0.5115468409586057,0.5185185185185185,0.514349847683181,27.0
