,precision,recall,f1-score,support
0.0,0.6875,0.6875,0.6875,16.0
1.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,11.0
accuracy,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
macro avg,0.6164772727272727,0.6164772727272727,0.6164772727272727,27.0
weighted avg,0.6296296296296297,0.6296296296296297,0.6296296296296297,27.0
