,precision,recall,f1-score,support
0.0,0.625,0.9375,0.75,16.0
1.0,0.6666666666666666,0.18181818181818182,0.2857142857142857,11.0
accuracy,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297
macro avg,0.6458333333333333,0.5596590909090909,0.5178571428571428,27.0
weighted avg,0.6419753086419753,0.6296296296296297,0.5608465608465608,27.0
