,precision,recall,f1-score,support
0.0,0.5925925925925926,1.0,0.7441860465116279,16.0
1.0,0.0,0.0,0.0,11.0
accuracy,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
macro avg,0.2962962962962963,0.5,0.37209302325581395,27.0
weighted avg,0.3511659807956104,0.5925925925925926,0.4409991386735573,27.0
