,precision,recall,f1-score,support
0.0,0.5454545454545454,0.75,0.631578947368421,16.0
1.0,0.2,0.09090909090909091,0.125,11.0
accuracy,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145
macro avg,0.3727272727272727,0.42045454545454547,0.3782894736842105,27.0
weighted avg,0.40471380471380464,0.48148148148148145,0.4251949317738791,27.0
