,precision,recall,f1-score,support
0.0,0.5714285714285714,0.75,0.6486486486486487,16.0
1.0,0.3333333333333333,0.18181818181818182,0.23529411764705882,11.0
accuracy,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
macro avg,0.45238095238095233,0.46590909090909094,0.4419713831478538,27.0
weighted avg,0.47442680776014107,0.5185185185185185,0.48024495083318613,27.0
