,precision,recall,f1-score,support
0.0,0.56,0.875,0.6829268292682927,16.0
1.0,0.0,0.0,0.0,11.0
accuracy,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
macro avg,0.28,0.4375,0.34146341463414637,27.0
weighted avg,0.3318518518518519,0.5185185185185185,0.4046973803071364,27.0
