,precision,recall,f1-score,support
0.0,0.5652173913043478,0.8125,0.6666666666666666,16.0
1.0,0.25,0.09090909090909091,0.13333333333333333,11.0
accuracy,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185
macro avg,0.4076086956521739,0.45170454545454547,0.39999999999999997,27.0
weighted avg,0.4367954911433172,0.5185185185185185,0.4493827160493827,27.0
