,precision,recall,f1-score,support,run_id
0.0,0.6153846153846154,1.0,0.7619047619047619,16.0,4
1.0,1.0,0.09090909090909091,0.16666666666666666,11.0,4
accuracy,0.6296296296296297,0.6296296296296297,0.6296296296296297,0.6296296296296297,4
macro avg,0.8076923076923077,0.5454545454545454,0.46428571428571425,27.0,4
weighted avg,0.7720797720797721,0.6296296296296297,0.519400352733686,27.0,4
