,precision,recall,f1-score,support,run_id
0.0,1.0,0.5,0.6666666666666666,16.0,11
1.0,0.5789473684210527,1.0,0.7333333333333333,11.0,11
accuracy,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,11
macro avg,0.7894736842105263,0.75,0.7,27.0,11
weighted avg,0.8284600389863548,0.7037037037037037,0.6938271604938272,27.0,11
