,precision,recall,f1-score,support,run_id
0.0,0.5833333333333334,0.875,0.7,16.0,9
1.0,0.3333333333333333,0.09090909090909091,0.14285714285714285,11.0,9
accuracy,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,9
macro avg,0.45833333333333337,0.48295454545454547,0.4214285714285714,27.0,9
weighted avg,0.48148148148148145,0.5555555555555556,0.473015873015873,27.0,9
