,precision,recall,f1-score,support,run_id
0.0,0.5789473684210527,0.6875,0.6285714285714286,16.0,10
1.0,0.375,0.2727272727272727,0.3157894736842105,11.0,10
accuracy,0.5185185185185185,0.5185185185185185,0.5185185185185185,0.5185185185185185,10
macro avg,0.4769736842105263,0.48011363636363635,0.47218045112781953,27.0,10
weighted avg,0.4958576998050682,0.5185185185185185,0.5011417432470063,27.0,10
