,precision,recall,f1-score,support,run_id
0.0,0.6956521739130435,1.0,0.8205128205128205,16.0,1
1.0,1.0,0.36363636363636365,0.5333333333333333,11.0,1
accuracy,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,1
macro avg,0.8478260869565217,0.6818181818181819,0.676923076923077,27.0,1
weighted avg,0.8196457326892109,0.7407407407407407,0.7035137701804368,27.0,1
