,precision,recall,f1-score,support,run_id
0.0,0.64,1.0,0.7804878048780488,16.0,5
1.0,1.0,0.18181818181818182,0.3076923076923077,11.0,5
accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,5
macro avg,0.8200000000000001,0.5909090909090909,0.5440900562851783,27.0,5
weighted avg,0.7866666666666667,0.6666666666666666,0.5878674171357099,27.0,5
