,precision,recall,f1-score,support,run_id
0.0,0.625,0.3125,0.4166666666666667,16.0,2
1.0,0.42105263157894735,0.7272727272727273,0.5333333333333333,11.0,2
accuracy,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.48148148148148145,2
macro avg,0.5230263157894737,0.5198863636363636,0.475,27.0,2
weighted avg,0.5419103313840156,0.48148148148148145,0.4641975308641975,27.0,2
